jobs
job_id,title,company,location,employment_type,experience_level,job_description_raw,posted_date,source,source_link
bf4186d0-da9a-4d79-8a3c-a467d73e988f,Junior Software Engineer,Leidos,"Orlando, FL",Full-time,Entry-level,"The Defense Sector at Leidos is currently seeking a Junior Software Engineer to join a collaborative, product-focused engineering team. In this role, you will contribute to the design, development, testing, and delivery of software products written primarily in Java, Rust and JavaScript. You will work within an Agile development environment, partnering closely with other engineers, product managers, and stakeholders to deliver high-quality software that meets user needs.

This position does allow the ability to telework, but the chosen candidate must be within a reasonable driving distance to one of the following four locations - Morgantown WV, Orlando, FL Omaha NE, or Huntsville AL. Weekly on-site work at one of these four locations is required.

Primary Responsibilities:
Design, develop, and maintain software components and services using Java, Rust, and JavaScript
Build and enhance user-facing features using React
Collaborate with a cross-functional Agile team using Jira for planning, tracking, and execution
Contribute to continuous delivery pipelines with a strong emphasis on automated testing
Write and maintain unit, integration, and system tests to ensure software quality and reliability for backend and frontend systems
Leverage generative AI tools to assist with development, testing, documentation, and problem-solving where appropriate
Participate in code reviews, design discussions, and sprint ceremonies
Work closely with product and user-facing teams to incorporate feedback and improve functionality and usability
Support ongoing improvements to development practices, tooling, and processes

Basic Qualifications:
US Citizen with the ability to obtain and maintain a Top Secret clearance with 365 days from the start of your employment with Leidos.
Bachelor's degree in a relevant field and 0-2 years of professional software development experience.
Proficiency in Java, Rust, and/or JavaScript, with willingness to work across both languages
Experience working in Agile/Scrum environments
Familiarity with Jira or similar Agile project management tools
Experience with automated testing frameworks and test-driven or test-focused development practices
Strong problem-solving skills and attention to detail
Ability to work effectively as part of a larger engineering team

Preferred Qualifications:
US Citizen with an active Top Secret clearance.
Experience with CI/CD pipelines and continuous delivery practices
Exposure to cloud-based or distributed systems
Experience using or experimenting with AI-assisted development tools
Understanding of software usability and user-centered design principles

What We Offer
Opportunity to work on impactful software products delivered continuously to users
A collaborative team environment that values learning, feedback, and improvement
Support for modern development practices, automation, and emerging tools
Competitive compensation and comprehensive benefits package
If you're looking for comfort, keep scrolling. At Leidos, we outthink, outbuild, and outpace the status quo — because the mission demands it. We're not hiring followers. We're recruiting the ones who disrupt, provoke, and refuse to fail. Step 10 is ancient history. We're already at step 30 — and moving faster than anyone else dares.",2026-03-16,Workday,https://leidos.wd5.myworkdayjobs.com/External/job/Orlando-FL/Junior-Software-Engineer_R-00178648-1?utm_source=Simplify&ref=Simplify
2f7292f1-ede3-4a21-a1c3-a94342da21fd,Software Engineer 1,RTX,"Dulles, VA",Full-time,Entry-level,"Our teams develop and build highly realistic simulators and training systems for both military and commercial customers.  We deliver highly specialized training for some of the most demanding jobs in aviation.  Devices range in complexity from desktop training all the way to high fidelity weapon system and full-flight training systems including full visual motion and simulator interoperability.

In this position, you will assist in the design, implementation, and testing of multi-threaded software applications and their associated user interfaces.  You will work in a fast-paced, modern agile development environment and collaborate closely with systems, hardware, and test to build advanced, mission-focused capabilities and features. This position requires the ability to obtain a US security clearance.  Most aspects of the job are done in a classified lab environment, and this position requires a daily onsite presence. 

What You Will Do:
Design, develop, integrate, and test software on cross-functional agile teams to deliver solutions within budget, scope, and schedule constraints 
Highly motivated software developer 
Perform software debugging  
Work in a collaborative team with general supervision 
Provide engineering estimates for own work 
Contribute to software and systems engineering requirements capture and analysis 
Travel to domestic and international customer sites to support training events and product installations 

What You Will Learn:
Hands-on-Experience with a variety of software engineering artifacts
Collaborate with a dynamic group of engineers from a variety of disciplines
Real world engineering experience will complement your education

Qualifications You Must Have:
Requires a Bachelor’s degree and 12 months or less of relevant professional work experience (excluding internships).
The ability to obtain and maintain a U.S. government issued security clearance is required ​
U.S. citizenship is required, as only U.S. citizens are eligible for a security clearance ​

Qualifications We Prefer:
Have a good working knowledge of Windows operating system
Familiarity with DevSecOps and Agile development methodologies 
Familiarity with C#, Windows Presentation Formats (WPF), and .NET technologies 
Familiarity with scripting languages (Python, Perl, etc.) 
Excellent written and oral communication skills 
Experience with Visual Studio and Eclipse 
Usage of source code control tools (SVN, GIT, ClearCase, etc.) 
Usage of ALM tools (JIRA, Confluence, Crucible, Bamboo) 
Agile software development experience 
A working knowledge of C/C++ 

What We Offer​:
Medical, dental, and vision insurance.  ​
Three weeks of vacation for newly hired employees.  ​
Generous 401(k) plan that includes employer matching funds and separate employer retirement contribution, including a Lifetime Income Strategy option.  ​
Tuition reimbursement program. ​
Student Loan Repayment Program.  ​
Life insurance and disability coverage.  ​
Optional coverages you can buy pet insurance, home and auto insurance, additional life and accident insurance, critical illness insurance, group legal, ID theft protection. ​
Birth, adoption, parental leave benefits. ​
Ovia Health, fertility, and family planning.  ​
Adoption Assistance.           ​
Autism Benefit.  ​
Employee Assistance Plan, including up to 10 free counseling sessions.  ​
Healthy You Incentives, wellness rewards program. ​
Doctor on Demand, virtual doctor visits.  ​
Bright Horizons, child and elder care services. ​
Teladoc Medical Experts, second opinion program.  ​
And more!  

Learn More and Apply Now!
Collins Aerospace, a Raytheon Technologies company, is a leader in technologically advanced and intelligent solutions for the global aerospace and defense industry. Collins Aerospace has the capabilities, comprehensive portfolio and expertise to solve customers’ toughest challenges and to meet the demands of a rapidly evolving global market.

Do you want to be a part of something bigger? A team whose impact stretches across the world, and even beyond? At Collins Aerospace, our Mission Systems team helps civilian, military and government customers complete their most complex missions — whatever and wherever they may be. Our customers depend on us for intelligent and secure communications, missionized systems for specialized aircraft and spacecraft and collaborative space solutions. By joining our team, you’ll have your own critical part to play in ensuring our customer succeeds today while anticipating their needs for tomorrow. Are you up for the challenge? Join our mission today.

WE ARE REDEFINING AEROSPACE.

Position is eligible for relocation.

Onsite: Employees who are working in Onsite roles will work primarily onsite. This includes all production and maintenance employees, as they are essential to the development of our products.
Regardless of your role type, collaboration and innovation are critical to our business and all employees will have access to digital tools so they can work with colleagues around the world – and access to Collins sites when their work requires in-person meetings.
                                                                                                                                               
Apply now and be part of the team that’s redefining aerospace, every day.


As part of our commitment to maintaining a secure hiring process, candidates may be asked to attend select steps of the interview process in-person at one of our office locations, regardless of whether the role is designated as on-site, hybrid or remote.

The salary range for this role is 62,900 USD - 119,700 USD. The salary range provided is a good faith estimate representative of all experience levels.  RTX considers several factors when extending an offer, including but not limited to, the role, function and associated responsibilities, a candidate’s work experience, location, education/training, and key skills.



Hired applicants may be eligible for benefits, including but not limited to, medical, dental, vision, life insurance, short-term disability, long-term disability, 401(k) match, flexible spending accounts, flexible work schedules, employee assistance program, Employee Scholar Program, parental leave, paid time off, and holidays. Specific benefits are dependent upon the specific business unit as well as whether or not the position is covered by a collective-bargaining agreement.


Hired applicants may be eligible for annual short-term and/or long-term incentive compensation programs depending on the level of the position and whether or not it is covered by a collective-bargaining agreement. Payments under these annual programs are not guaranteed and are dependent upon a variety of factors including, but not limited to, individual performance, business unit performance, and/or the company’s performance.


This role is a U.S.-based role. If the successful candidate resides in a U.S. territory, the appropriate pay structure and benefits will apply.


RTX anticipates the application window closing approximately 40 days from the date the notice was posted. However, factors such as candidate flow and business necessity may require RTX to shorten or extend the application window.",2026-03-17,Workday,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-VA-STERLING-291--22640-Davis-Dr--DAVIS/Software-Engineer-I--Onsite-_01829721?utm_source=Simplify&ref=Simplify
6545ec8d-3bda-4288-aeab-b4e0c0af0f2a,Software Engineer 1 - Monetization ML,Twitch,"Seattle, WA",Full-time,Entry-level,"About Us
Twitch is the world’s biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It is where thousands of communities come together for whatever, every day.
We’re about community, inside and out. You’ll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems together. We’re on a quest to empower live communities, so if this sounds good to you, see what we’re up to on LinkedIn and X,  and discover the projects we’re solving on our Blog. Be sure to explore our Interviewing Guide to learn how to ace our interview process.
About the Role
Join the Monetization ML team within Twitch's Commerce organization, where we're building the intelligent systems that power personalized experiences for creators and viewers across all monetization products. We are the team behind the ML infrastructure for ads, commerce, and money products – systems that optimize revenue and detect fraud while serving millions of users in real-time.
From production model infrastructure to API integrations across services, we're constantly pushing the boundaries of what's possible in live streaming monetization. 
Our team are based in San Francisco, CA and Seattle, WA
You Will:
Build robust ML infrastructure and platforms that power personalized monetization experiences across Twitch's ecosystem
Architect and develop APIs that seamlessly integrate ML models with existing monetization services, enabling real-time and batch predictions at scale
Collaborate with Applied Scientists to productionize ML models, transforming research into production-ready systems that serve millions of users
Partner with product engineering teams across monetization to deliver ML-powered features that enhance creator and viewer experiences
Design and implement comprehensive monitoring and operational excellence systems for ML model performance, ensuring reliability and quality at scale
Develop data ingestion and processing pipelines that support both real-time inference and batch training workflows
Explore and build infrastructure for emerging use cases including LLM applications in monetization contexts
You Have:
1+ years of professional software development experience with a focus on building scalable systems
Experience building production ML infrastructure, including model deployment, serving, and monitoring systems
Proficiency in modern programming languages (Python, Java, Go) and distributed system technologies
A track record of building APIs and integrating systems that handle high-throughput, low-latency requirements
Understanding of data processing pipelines and experience with streaming technologies (Flink, Kafka, or similar)
Sharp problem-solving skills with a focus on algorithms, data structures, and distributed system design
Bachelor's degree in Computer Science, Engineering, or equivalent real-world experience
Bonus Points
Familiarity with Twitch's tech stack: Golang, Python, Apache Flink, Cond
Experience with workflow orchestration tools like Airflow or Conductor for managing ML pipelines
Experience with AWS technologies like ECS, DynamoDB, Lambda, SQS, and Step Functions
Knowledge of real-time ML serving systems and model deployment at scale
Experience with fraud detection, recommendation systems, or monetization optimization
A passion for gaming, streaming, or the Twitch platform
Perks
Medical, Dental, Vision & Disability Insurance
401(k)
Maternity & Parental Leave
Flexible PTO
Amazon Employee Discount
",2026-03-17,Greenhouse,https://job-boards.greenhouse.io/twitch/jobs/8417166002?utm_source=Simplify&ref=Simplify
48fd7a28-3401-45d9-b07a-7874ec8be416,Product Engineer 1 - Customization and Framework,Esri,"West Redlands, Redlands, CA",Full-time,Entry-level,"ArcGIS Pro is a powerful geographic information system (GIS) software that is used to analyze, visualize, and share spatial data, helping to solve real-world problems. As a product engineer on the desktop architecture team, you will help define and build the application framework for ArcGIS Pro. This includes all aspects of customizing the application, keyboard shortcuts, UI tweaks, and ensuring the application is extensible via 3rd party developer code. GIS application developers and power users who like tweaking applications are a great fit for this job.
You will also build and test the threading, user interface, language control, software update, and logging functions relied upon by Esri's desktop GIS application development teams. On a typical day, you will work with developers and other product engineers to evaluate functionality and program automated test code. Your communication skills will be essential as you interface with other development teams.
Responsibilities

Ensure quality for all aspects of the GIS user and GIS developer experience by testing software functions, user interfaces, GIS workflows, and application programming interfaces
Program automated test code and analyze test results
Report status on software quality and stability
Verify code changes and bug fixes and perform stress tests that validate software functionality
Help the team organize and work and prioritize it for maximum customer benefit
Troubleshoot production issues in current and past software versions
Research and analyze customer requests, industry standards, and specifications to establish and define requirements and translate them into new software features
Author and share code samples, tutorials, blog articles, videos, and help documentation
Requirements

1+ years of hands-on experience in Geographic Information Systems (GIS)
Demonstrated experience writing code in at least one of the following languages: C#, C, C++, Rust, Python, Java, or JavaScript, with the ability to produce excellent code
Understanding of technical trends and a continuing interest in a broad range of topics including installed on-prem software, web technologies, computer hardware, and the business of software
Excellent written and verbal communication skills
Ability to organize your own work effectively, and contribute to the team’s work item prioritization
Bachelor’s degree in computer science, GIS, geography, engineering, mathematics, or related field
Recommended Qualifications

Master’s degree in computer science, GIS, geography, engineering, mathematics, or related field
Familiarity with the Esri ArcGIS platform or other GIS and mapping products
Experience using the ArcGIS Pro SDK for Microsoft .NET, ArcPy, ArcObjects, or other Esri developer technologies
Working knowledge of desktop or web software development patterns and technologies, including .NET, Windows Presentation Foundation (WPF) and the MVVM design pattern
Experience with software testing, test automation, and unit test authoring
Familiarity with scrum or other agile software development methodologies. Experience working in a ScrumMaster role is a big plus
",2026-03-17,Career Website,https://www.esri.com/careers/5082103007?gh_jid=5082103007&utm_source=Simplify&ref=Simplify&title=product-engineer-i-customization-and-framework
c42b39f2-97be-456f-b4f5-ffd4599cba9e,Software Engineer – Entry Level,General Dynamics Mission Systems,"Dedham, MA",Full-time,Entry-level,"Basic Qualifications
Requires a Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field. Also requires one year of experience, or a Master's degree. Agile experience preferred.
 
CLEARANCE REQUIREMENTS:: Department of Defense Secret security clearance is obtainable within a reasonable amount of time after hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position
ROLE AND POSITION OBJECTIVES:
As a software engineer for the NC3 business segment, you’ll be a member of a cross functional team responsible for design, development and test of the next generation of Strategic Systems.
 
We encourage you to apply if you have any of these preferred skills or experiences:
Object oriented development
Agile experience
SASTs tools
GitLab
Python and bash
Understanding of SW engineering concepts
Atlassian
Good communication skills particularly with outside customer
 
What sets you apart:
Strong understanding of software development process, as well as software engineering concepts, principles, and theories
Creative thinker capable of applying new information quickly to solve challenging problems
Comfortable providing technical leadership
Team player who thrives in collaborative environments and revels in team success
Commitment to ongoing professional development for yourself and others
Our Commitment to You:
An exciting career path with opportunities for continuous learning and development. 
Research oriented work, alongside award winning teams developing practical solutions for our nation’s security
Flexible schedules with every other Friday off work, if desired (9/80 schedule)
Competitive benefits, including 401k matching, flex time off, paid parental leave, healthcare benefits, health & wellness programs, employee resource and social groups, and more
See more at gdmissionsystems.com/careers/why-work-for-us/benefits
 
Workplace Options:This position is fully on-site.While on-site, you will be a part of the Dedham, MA location.
Salary Note
This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. This job posting will remain open until the position is filled.
Combined Salary Range
USD $85,807.00 - USD $95,193.00 /Yr.
",2026-03-17,Career Website,https://careers-gdms.icims.com/jobs/71520/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify
8a9b2768-fbb1-4783-9ba9-6065d1b2fd5f,Simulation Software Engineer 1,Relativity Space,"Long Beach, CA",Full-time,Entry-level,"At Relativity Space, we’re building rockets to serve today’s needs and tomorrow’s breakthroughs. Our Terran R vehicle will deliver customer payloads to orbit, meeting the growing demand for launch capacity. But that’s just the start. Achieving commercial success with Terran R will unlock new opportunities to advance science, exploration, and innovation, pioneering progress that reaches beyond the known.
Joining Relativity means becoming part of something where autonomy, ownership, and impact exist at every level. Here, you're not just executing tasks; you're solving problems that haven’t been solved before, helping develop a rocket, a factory, and a business from the ground up. Whether you’re in propulsion, manufacturing, software, avionics, or a corporate function, you’ll collaborate across teams, shape decisions, and see your work come to life in record time. Relativity is a place where creativity and technical rigor go hand in hand, and your voice will help define the stories we’re writing together. Now is a unique moment in time where it’s early enough to leave your mark on the product, the process, and the culture, but far enough along that Terran R is tangible and picking up momentum. The most meaningful work of your career is waiting. Join us.
About the Team: 
The Avionics team is responsible for the full lifecycle of Terran R’s nervous system, designing, building, testing, installing, and operating the hardware that connects and controls every major electrical system on the vehicle and ground. The team leverages close partnership between avionics design, manufacturing, and test to enable rapid iteration and feedback loops. Engineers are deeply embedded into other functions within Relativity, working closely with propulsion, GNC, fluids, and stage engineering teams to ensure seamless integration and operation. Now is a unique time to join: you’ll get to help shape Terran R's fundamental avionics architecture and be given a high degree of ownership on components that will fly. 
About the Role
Develop frameworks and infrastructure to conduct qualification and acceptance testing of Avionics components on the Terran R launch vehicle
Design equipment to facilitate Avionics component testing: simulation circuits, auxiliary test equipment, test harnesses, mechanical fixtures and enclosures, and system validation tools
Work with hardware design engineers and software engineers to derive test requirements and methodologies
Create and maintain test plans and procedures for avionics systems
Integrate, commission, and operate test rack hardware and software to support component- and system-level functional testing
About You: 
Undergraduate or graduate degree (BS/MS/PhD) in Electrical Engineering, Computer Engineering, Computer Science, Aerospace Engineering, or a related field
5+ years of experience with electronics hardware simulation or test
Experience with data acquisition and control system platforms such as NI, Beckhoff, or similar
Experience automating electronic test equipment such as power supplies, DMMs, oscilloscopes, signal generators, and electronic loads
Familiarity with common communication protocols such as Ethernet, CAN, UART, SPI, etc.
Strong communication and interpersonal skills
Nice to have, but not required:
Experience with a schematic capture & PCB design tool such as Altium Designer
Experience with analog sensors such as pressure transducers, RTDs, and accelerometers
Experience with embedded software development and integration for avionics systems
Experience with scripting languages such as Python or MATLAB for data acquisition/recording and analysis
Familiarity with wire harness design
Familiarity with CAD tools such as NX
At Relativity Space, we are committed to transparency and fairness in our compensation practices. Actual compensation will be determined based on experience, qualifications, and other job-related factors.
",2026-03-17,Greenhouse,https://boards.greenhouse.io/relativity/jobs/8465281002?utm_source=Simplify&ref=Simplify
a890f707-dffa-4f2a-8fd2-765c662c7341,Software Engineer 1 - Officepy,Microsoft,"Redmond, WA",Full-time,Entry-level,"Overview
The Office Python Service (OfficePy) is a large­scale, security­ critical backend service that enables Copilot and Microsoft partner teams to safely execute untrusted code and commands in an isolated runtime environment.
We are hiring a Software Engineer to build and operate core service capabilities. In this role, you will partner with internal teams to deliver features, while strengthening our fundamentals across reliability, performance, compliance, and security. You will also support deployment and release processes, monitor service health, and troubleshoot live­site issues.
Impact You’­ll Have
Deliver partner features that expand how Copilot and Office experiences safely use Python execution.
Increase service reliability and performance through disciplined engineering and live-site ownership.
Help maintain a strong security and compliance posture for a foundational, multi-tenant execution service.
If you are passionate about building secure, large‑scale backend systems, enjoy solving complex engineering challenges, and want to shape a foundational service powering Copilot and Office scenarios, we’d love to hear from you. Join us to help define how Microsoft safely executes untrusted workloads at scale.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.


Responsibilities
Implement partner-requested features and service APIs end-to-end, from design and implementation through rollout and operational readiness.
Improve service reliability by driving incident follow-ups, fixing root causes, and implementing durable mitigations.
Optimize performance and scalability by identifying bottlenecks, reducing latency, improving throughput, and managing resource/cost efficiency.
Strengthen security and compliance posture through secure coding, least-privilege access, safe handling of untrusted inputs, and improved auditing/logging where needed.
Contribute to deployment and release workflows, including safe rollout strategies (rings/canaries), validation, and rollback plans.
Monitor service health using telemetry, dashboards, and alerts; identify anomalies and regressions before they impact customers.
Participate in on-call rotation and troubleshoot production issues, working cross-functionally to restore service and communicate status clearly.
Embody our culture and values. 


Qualifications
Required Qualifications:
Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR equivalent experience. 
Other Requirements:
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
Preferred Qualifications:
Master's Degree in Computer Science or related technical field with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR Bachelor's Degree in Computer Science or related technical field AND 2+ years technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python
OR equivalent experience.
Experience improving service reliability using SLOs/SLIs, alerting strategies, and post-incident RCA practices.
Experience with performance profiling and optimization in distributed systems.
Familiarity with security concepts such as authN/authZ, secrets management, and secure handling of untrusted input.
Experience supporting compliance-oriented requirements (e.g., auditing, retention, data protection) in production services.
Demonstrated operational rigor (runbooks, safe deployments, playbooks, automation).

",2026-03-16,Career Website,https://apply.careers.microsoft.com/careers/job/1970393556847482?utm_source=Simplify&ref=Simplify
52a989a8-2910-4802-8cb0-d20727df7600,Associate Software Engineer,OptiTrack,"Corvallis, OR",Full-time,Entry-level,"OptiTrack is a global leader in 3D motion tracking solutions, delivering high-performance motion capture systems for a wide range of applications including virtual production, biomechanics, robotics, and game development. Our technology powers innovation at some of the world’s leading research institutions, studios, and companies.
We are looking for a talented and motivated Associate Software Engineer to join our development team in Corvallis, Oregon. This is an opportunity to work at the cutting edge of motion tracking, contributing to real-time systems used around the world.

What You’ll Do
· Design, develop, and maintain C++ desktop applications that interact with motion capture systems.
· Work collaboratively with software, hardware, and QA engineers to build high-performance, real-time applications.
· Contribute to internal tools and pipelines using C++, Python, and possibly other similar languages.
· Participate in code reviews, testing, and documentation as part of the software development lifecycle.

Requirements
Required Qualifications
· Bachelor’s degree in Computer Science, Software Engineering, Mathematics, or a related field.
· Hands-on experience developing desktop applications in C++.
· Working knowledge of Python.
· Strong problem-solving and debugging skills.
· Good verbal and written communication skills for documentation and internal collaboration.
· Willingness to work on-site in Corvallis, OR
· Experience with motion capture systems or 3D tracking technologies.
· Knowledge of machine learning or artificial intelligence.
· Familiarity with game engines such as Unreal Engine, Unity, or others.
· Experience working on real-time or high-performance system
Benefits
All benefits start on first day of employment!
75% employer-paid medical for employee. Family coverage also included. 
100% employer paid dental, and vision for employee and dependents
100% employer paid long-term, short-term disability, and life insurance policy
401k Match, if you’re contributing 5% we match 4%. 100% vested immediately.
10 paid holidays
Starting at 15 days paid PTO (inclusive of sick and vacation time) annually
Employee Assistance Program (EAP)
Flexible Spending Account (FSA)
",2026-03-16,Workable,https://apply.workable.com/optitrack/j/DFD96026F7/?utm_source=Simplify&ref=Simplify
26ef4c43-865a-4106-897e-afc9668d3415,Junior Software Engineer- Fully Cleared 🇺🇸,Intelliforce,"Annapolis Junction, MD",Full-time,En,"Make an Impact Where It Matters Most
At Intelliforce, we deliver mission-critical engineering expertise that powers the nation’s most sensitive and complex intelligence operations. As a Software Engineer on this program, you’ll help build and enhance high-performance systems that process massive datasets and enable real-time mission decisions. If you thrive on solving hard problems at scale and want your work to have direct operational impact, this role puts you at the center of it.
You’ll join a collaborative team developing advanced software capabilities using Java and distributed data processing technologies to support large-scale analytics and cloud-enabled operations.

Schedule and Work Details
Location: NBP 410Schedule: Full-time, on-site in a secure environmentClearance: Active Top Secret Clearance with Full Scope Polygraph (required). An in-scope polygraph within the past 7 years may be required.

Here’s What Your Day-to-Day Might Look Like
You’ll spend your day designing, building, and improving software systems that ingest, process, and analyze enormous volumes of data.
Typical activities include:
Developing robust Java-based applications for mission systems
Implementing distributed processing solutions using MapReduce technologies
Enhancing cloud-hosted capabilities to improve scalability and performance
Integrating tools such as GhostMachine and QTA into operational workflows
Debugging complex issues across large, interconnected systems
Collaborating with analysts, engineers, and stakeholders to deliver usable solutions
Supporting production systems and improving reliability and efficiency
Contributing to architecture discussions and performance tuning efforts

Minimum Qualifications
Clearance: Active Top Secret Clearance with Full Scope Polygraph (required). We do not have the ability to sponsor clearances.Citizenship: Must be a U.S. Citizen.
Education and Experience:
Bachelor’s degree in Computer Science or a related discipline from an accredited college or university
Relevant experience developing software for systems of similar scope and complexity
Additional experience may be substituted for a degree in accordance with program requirements

Required Skills
Strong software development experience using Java
Experience with MapReduce or large-scale distributed data processing
Experience working with cloud technologies and architectures
Familiarity with GhostMachine and QTA
Experience developing software for production environments
Ability to analyze requirements and implement scalable solutions
Strong debugging and troubleshooting skills
Ability to work effectively in a team-oriented, mission-focused environment

Desired Skills
Experience processing extremely large datasets
Familiarity with analytics or mission systems environments
Knowledge of distributed system design and performance optimization
Experience supporting operational software deployments
Strong written and verbal communication skills

Technology Stack
This role works primarily with Java-based development frameworks and distributed processing technologies such as MapReduce, operating within cloud environments that support large-scale data analytics. Engineers will also interface with mission-specific platforms including GhostMachine and QTA, along with supporting tools for debugging, integration, and performance tuning across secure systems.
Compensation Range: $101,000.00 - $129,000.00
*The salary range provided reflects an estimate based on current market trends and may be adjusted based on factors such as the candidate's experience, skills, and qualifications. The final offer will be tailored after a thorough evaluation of the candidate’s background and suitability for the role. Please note that this range is intended as a guideline and is subject to flexibility.
",2026-03-16,Career Website,https://intelliforceitsolutionsgroup.applytojob.com/apply/uVOPHbn9X0/Junior-Software-Engineer-Fully-Cleared?utm_source=Simplify&ref=Simplify
bd2269c5-d5ac-4d1d-ad66-0ace5c1fc420,Software Engineer 1,Caterpillar,"Irving, TX",Full-time,Entry-level,"Job Description:

Your Work Shapes the World at Caterpillar Inc. 

When you join Caterpillar, you're joining a global team who cares not just about the work we do – but also about each other.  We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are building a better world, so we can all enjoy living in it.

Software Engineer 

Role Definition:

This position will help Caterpillar solve its customers’ toughest challenges while building a better and more sustainable world. This person will deliver technological initiatives inside of the Commercial Process Division (CPD), part of the Power and Energy Group. This business segment focuses on the development and delivery of services, solutions, and processes to support the Caterpillar commitment to our customers including our Dealer Network. The incumbent will collaborate with business partners and enterprise teams in creation of Business relevant IT & Business Strategies for CPD.

Expected to work across multiple teams, understanding requirements and technology capabilities.

What You Will Do: 
Designing, modifying, developing, writing and implementing software programming applications for target system using agile methods.
Acquiring client requirements; resolving workflow problems through automation optimization.
Writing source codes for new applications, and/or generating and enhancing code samples for existing applications.
Utilizing automated testing tools to perform the testing and maintenance.

What You Have:
Agile Mindset and experience working in Product Teams.
Experience working in Azure DevOps Framework.
Experience working .NET Framework.
Automation & AI first thinking is a must.
Cyber Safe approach.
Dev Ops, CI/CD practices, and Automated Testing.
Engineering languages (Python, Java/JavaScript, C#, PHP, Ruby, SQL, ASP.Net, Snaplogic, DataStage)

Additional Info:
The role can be in Irving, TX, Peoria, IL or Mossville, IL.
Sponsorship is NOT available.
This role requires 5 days onsite.
Relocation is NOT available for this role.

Skills Descriptors:
Decision Making and Critical Thinking: Knowledge of the decision-making process and associated tools and techniques; ability to accurately analyze situations and reach productive decisions based on informed judgment.
Effective Communications: Understanding effective communication concepts, tools, and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs through the application of appropriate communication behaviors.
Software Development: Knowledge of software development tools and activities; ability to produce software products or systems in line with product requirements.
Software Development Life Cycle: Knowledge of software development life cycle; ability to use a structured methodology for delivering and managing new or enhanced software products to the marketplace.
Software Integration Engineering: Knowledge of software integration processes and functions; ability to design, develop and maintain interfaces and link to alternative platforms and software packages.
Software Product Design/Architecture: Knowledge of software product design; ability to convert market requirements into software product design.
Software Product Technical Knowledge: Knowledge of technical aspects of a software product; ability to design, configure and integrate technical aspects of software products.
Software Product Testing: Knowledge of software product testing; ability to design, plan, and execute testing strategies and tactics to ensure software product quality and adherence to stated requirements.

What You Will Get:

Our goal at Caterpillar is for you to have a rewarding career. Our teams are critical to the success of our customers who build a better world.
Here you earn more than just a salary because we value your performance. We offer a total rewards package that provides benefits on day one (medical, dental, vision, RX, and 401K) along with the potential of an annual bonus. Additional benefits include paid vacation days and paid holidays.
All qualified individuals - Including minorities, females, veterans, and individuals with disabilities - are encouraged to apply.

About Caterpillar - 
Caterpillar Inc. is the world’s leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. For nearly 100 years, we’ve been helping customers build a better, more sustainable world and are committed and contributing to a reduced-carbon future. Our innovative products and services, backed by our global dealer network, provide exceptional value that helps customers succeed.
",2026-03-16,Worday,https://cat.wd5.myworkdayjobs.com/en-US/caterpillarcareers/job/Irving-Texas/Software-Engineer-1_R0000355583?utm_source=Simplify&ref=Simplify
