"course_code","title","description","skills"
"CSC 101","Introduction to Computing","A comprehensive introduction to computing and programming. No prior programming experience is required. Explore the use of computing in everyday life and its impact on our society, and apply foundational ideas of computing to frame a problem and devise a solution using Java programming language.","[(Java, 20), (Programming Fundamentals, 18), (Problem Solving, 16), (Algorithms, 14), (Computational Thinking, 12), (Arrays, 10), (Modular Programming, 10)]"
"CSC 110","Computational Thinking and Quantitative Reasoning","Basic building blocks of programming and computational thinking practices including analyzing the effects of computation, creating computational artifacts, using abstractions and models, analyzing problems and artifacts, communicating processes and results, and working effectively in teams. Mathematical models and information retrieval from real-world datasets will be used as vehicles to practice programming and computation thinking. (Note: For this course to satisfy General Education, students must earn a grade of C- or CR or higher.)","[(Computational Thinking, 35), (Programming Fundamentals, 30), (Data Analysis, 20), (Modeling, 15)]"
"CSC 215","Intermediate Computer Programming","Design, implementation, testing, debugging, maintenance, and documentation of Java programs. Algorithms, programming concepts, and data types in Java. Concepts of object-oriented programming. Numerical and non-numerical problems. Hands-on exercises in programming, and the use of basic software development tools.","[(Java, 20), (Object-Oriented Programming, 18), (Algorithmic Problem Solving, 16), (Testing and Debugging, 16), (Software Documentation, 15), (Software Development Tools, 15)]"
"CSC 220","Data Structures","Linear and non-linear data structures in Java, including lists, stacks, queues, trees, tables, and graphs. Recursion, iteration over collections, Big O notation, and hash tables.","[(Data Structures, 20), (Java, 16), (Abstract Data Types, 16), (Algorithms, 14), (Recursion, 12), (Sorting and Searching, 12), (Hash Tables, 10)]"
"CSC 221","Data Structure Lab","Training on the principles of object-oriented programming, data structures (such as stacks, queues, lists, trees, sets, HashMaps, etc.), implementation, and usage in solving real-life problems, recursion, and algorithm analysis. Activity. (CR/NC grading only)","[(Data Structures, 40), (Object-Oriented Programming, 25), (Algorithm Analysis, 20), (Java Collections / HashMaps, 15)]"
"CSC 230","Discrete Mathematical Structures for Computer Science","Review of set algebra, relations and functions, permutations, propositional logic, proof techniques, introduction to graph theory, and infinite sets, and their applications to computer science.","[(Discrete Mathematics, 20), (Logic, 16), (Proof Techniques, 16), (Set Theory, 14), (Graph Theory, 12), (Combinatorics, 12), (Recursion, 10)]"
"CSC 256","Machine Structures","Digital logic circuits, data representation, assembly language programming, subroutine linkage, machine language encoding, interrupt and exception handling, memory system concepts, and CPU organization and performance.","[(Computer Architecture, 18), (Assembly Language, 18), (Digital Logic, 16), (MIPS, 14), (Memory Hierarchy, 14), (CPU Pipelines, 10), (Interrupt Handling, 10)]"
"CSC 300GW","Ethics, Communication, and Tools for Software Development - GWAR","Privacy, security, legal, and ethical issues in Software development. Communication relevant to SW development (e.g., reports, contracts, requirements, documentation, collaboration, e-mail, presentations). Study and use of basic tools for SW development and collaboration. (ABC/NC grading only)","[(Technical Communication, 18), (Professional Ethics, 18), (Privacy, 16), (Cybersecurity, 14), (Software Documentation, 12), (Requirements Analysis, 12), (Presentations, 10)]"
"CSC 306","An Interdisciplinary Approach to Computer Programming","Basics of programming for interdisciplinary problem-solving, using Python.Topics include basic building blocks of programming (variables, control statements, loops, function, abstraction, and more) and problem-solving approaches relevant to problems in the natural sciences.","[(Python, 45), (Programming Fundamentals, 35), (Scientific Computing, 20)]"
"CSC 307","An Interdisciplinary Approach to Web Programming","Basics of WWW engineering relevant to studies in interdisciplinary problem-solving. Topics include the basics of developing web and database applications, HTML, PHP, Python, SQL, and MySQL database.","[(HTML, 20), (PHP, 20), (Python, 20), (SQL, 20), (MySQL, 20)]"
